section_id,node_1,node_2,travel_time_min,num_tracks,junction_id
S001,N001,N002,18,3,J001
S002,N001,N005,32,2,J002
S003,N001,N009,10,2,J003
S004,N002,N003,28,3,J001
S005,N002,N006,22,2,J001
S006,N005,N006,14,2,J002
S007,N005,N007,20,1,J002
S008,N006,N003,16,2,J004
S009,N006,N007,12,1,J004
S010,N003,N004,8,2,J005
S011,N003,N008,15,2,J005
S012,N009,N002,12,2,J003
S013,N009,N010,35,2,J003
S014,N010,N011,9,2,J006
S015,N011,N012,28,3,J006
S016,N003,N011,42,2,J005
S017,N005,N003,30,2,J002
S018,N007,N003,18,1,J007
S019,N002,N010,40,2,J001
S020,N006,N011,25,2,J004
S021,N001,N010,48,1,J003
S022,N004,N008,20,1,J005
S023,N008,N012,31,2,J008
S024,N010,N012,36,2,J006
S025,N005,N009,24,2,J002
S026,N002,N005,32,2,J001
S027,N003,N006,16,2,J004
S028,N011,N003,42,2,J006
S029,N009,N005,24,2,J003
S030,N012,N011,28,3,J008
