track_segment_id,track_id,chainage_start_m,chainage_end_m
TS001,TR001_01,0,5000
TS002,TR001_01,5000,10000
TS003,TR001_02,0,5000
TS004,TR001_02,5000,10000
TS005,TR001_03,0,5000
TS006,TR001_03,5000,10000
TS007,TR002_01,0,5000
TS008,TR002_01,5000,10000
TS009,TR002_02,0,5000
TS010,TR002_02,5000,10000
TS011,TR003_01,0,5000
TS012,TR003_01,5000,10000
TS013,TR003_02,0,5000
TS014,TR003_02,5000,10000
TS015,TR004_01,0,5000
TS016,TR004_01,5000,10000
TS017,TR004_02,0,5000
TS018,TR004_02,5000,10000
TS019,TR004_03,0,5000
TS020,TR004_03,5000,10000
TS021,TR005_01,0,5000
TS022,TR005_01,5000,10000
TS023,TR005_02,0,5000
TS024,TR005_02,5000,10000
TS025,TR006_01,0,5000
TS026,TR006_01,5000,10000
TS027,TR006_02,0,5000
TS028,TR006_02,5000,10000
TS029,TR007_01,0,5000
TS030,TR007_01,5000,10000
TS031,TR008_01,0,5000
TS032,TR008_01,5000,10000
TS033,TR008_02,0,5000
TS034,TR008_02,5000,10000
TS035,TR009_01,0,5000
TS036,TR009_01,5000,10000
