track_id,section_id,track_number,track_type
TR001_01,S001,1,MAIN
TR001_02,S001,2,MAIN
TR001_03,S001,3,LOOP
TR002_01,S002,1,MAIN
TR002_02,S002,2,MAIN
TR003_01,S003,1,MAIN
TR003_02,S003,2,MAIN
TR004_01,S004,1,MAIN
TR004_02,S004,2,MAIN
TR004_03,S004,3,LOOP
TR005_01,S005,1,MAIN
TR005_02,S005,2,MAIN
TR006_01,S006,1,MAIN
TR006_02,S006,2,MAIN
TR007_01,S007,1,MAIN
TR008_01,S008,1,MAIN
TR008_02,S008,2,MAIN
TR009_01,S009,1,MAIN
TR010_01,S010,1,MAIN
TR010_02,S010,2,MAIN
TR011_01,S011,1,MAIN
TR011_02,S011,2,MAIN
TR012_01,S012,1,MAIN
TR012_02,S012,2,MAIN
TR013_01,S013,1,MAIN
TR013_02,S013,2,MAIN
TR014_01,S014,1,MAIN
TR014_02,S014,2,MAIN
TR015_01,S015,1,MAIN
TR015_02,S015,2,MAIN
TR015_03,S015,3,LOOP
TR016_01,S016,1,MAIN
TR016_02,S016,2,MAIN
TR017_01,S017,1,MAIN
TR017_02,S017,2,MAIN
TR018_01,S018,1,MAIN
