movement_id,train_id,section_id,track_id,entry_time,exit_time
M001,T001,S001,TR001_01,08:00,08:18
M002,T002,S002,TR002_01,08:05,08:37
M003,T003,S003,TR003_01,08:10,08:20
M004,T004,S001,TR001_02,08:25,08:43
M005,T005,S002,TR002_02,08:30,09:02
M006,T006,S006,TR006_01,08:45,08:59
M007,T007,S012,TR012_01,08:50,09:02
M008,T008,S013,TR013_01,09:00,09:35
M009,T009,S001,TR001_03,09:10,09:28
M010,T010,S006,TR006_02,09:15,09:29
M011,T011,S001,TR001_01,09:35,09:53
M012,T012,S002,TR002_01,09:40,10:12
M013,T001,S004,TR004_01,08:18,08:46
M014,T002,S006,TR006_01,08:37,08:51
M015,T004,S005,TR005_01,08:43,09:05
M016,T005,S006,TR006_02,09:02,09:16
M017,T006,S008,TR008_01,08:59,09:15
M018,T007,S004,TR004_02,09:02,09:30
M019,T008,S014,TR014_01,09:35,09:44
M020,T009,S004,TR004_03,09:28,09:56
M021,T010,S008,TR008_02,09:29,09:45
M022,T011,S004,TR004_01,09:53,10:21
M023,T012,S017,TR017_01,10:12,10:42
M024,T008,S015,TR015_01,09:44,10:12
